74031209,SI74031209
74047400,SI74047400
74285075,SI74285075
74328411,SI74328411
74328435,SI74328435
74356351,SI74356351
74356368,SI74356368
74356375,SI74356375
74410019,SI74410019
74410026,SI74410026
74410033,SI74410033
74410040,SI74410040
74410064,SI74410064
74529227,SI74529227
74529234,SI74529234
74530148,SI74530148
74578049,SI74578049
74579253,SI74579253
74638411,SI74638411
74646652,SI74646652
74773763,SI74773763
75026576,SI75026576
82694641,SI82694641
83791181,SI83791181
83903928,SI83903928
83906165,SI83906165
83977004,SI83977004
84031215,SI84031215
84041252,SI84041252
84047399,SI84047399
84284028,SI84284028
84328410,SI84328410
84328427,SI84328427
84328434,SI84328434
84356374,SI84356374
84410032,SI84410032
84410049,SI84410049
84410056,SI84410056
84410063,SI84410063
84530123,SI84530123
84530130,SI84530130
84578048,SI84578048
84579283,SI84579283
84638410,SI84638410
84735603,SI84735603
84773762,SI84773762
84822763,SI84822763
93721132,SI93721132
93780977,SI93780977
93791111,SI93791111
93791135,SI93791135
93791173,SI93791173
93791180,SI93791180
93908403,SI93908403
93977003,SI93977003
93977010,SI93977010
94041251,SI94041251
94041275,SI94041275
94047398,SI94047398
94167135,SI94167135
94284034,SI94284034
94284041,SI94284041
94328419,SI94328419
94328426,SI94328426
94328433,SI94328433
94356359,SI94356359
94356373,SI94356373
94356380,SI94356380
94410017,SI94410017
94410024,SI94410024
94410031,SI94410031
94410048,SI94410048
94410055,SI94410055
94410062,SI94410062
94461154,SI94461154
94513684,SI94513684
94530146,SI94530146
94531226,SI94531226
94578047,SI94578047
94579244,SI94579244
94579251,SI94579251
94699933,SI94699933
94773761,SI94773761
95026574,SI95026574
99999999,SI04623775
14815575,SI14815575
24530150,SI24530150
35064127,SI35064127
55064125,SI55064125
65064124,SI65064124
74638428,SI74638428
74973303,SI74973303
84689478,SI84689478
94933532,SI94933532
95075190,SI95075190
44699938,SI44699938
64925181,SI64925181
4973300,SI04973300
7410057,SI07410057
4166669,SI04166669
4166690,SI04166690
4411608,SI04411608
4536639,SI04536639
4644406,SI04644406
4644444,SI04644444
4931917,SI04931917
13870289,SI13870289
14536621,SI14536621
23870288,SI23870288
24576877,SI24576877
24931908,SI24931908
25093069,SI25093069
33831055,SI33831055
34411629,SI34411629
34535020,SI34535020
35093068,SI35093068
44175632,SI44175632
44343974,SI44343974
44349341,SI44349341
44536635,SI44536635
44584418,SI44584418
54166671,SI54166671
54999529,SI54999529
55073532,SI55073532
55138174,SI55138174
64584423,SI64584423
64644417,SI64644417
65093065,SI65093065
65138180,SI65138180
74535019,SI74535019
74535026,SI74535026
74644416,SI74644416
74750456,SI74750456
75138172,SI75138172
84175748,SI84175748
84235897,SI84235897
84411617,SI84411617
84535087,SI84535087
84648361,SI84648361
84750455,SI84750455
94039858,SI94039858
94411551,SI94411551
94536623,SI94536623
94750375,SI94750375
25125388,SI25125388
35074906,SI35074906
85138171,SI85138171
54750465,SI54750465
64349332,SI64349332
99999999,ERR99999999
989999999,ERR989999999
676666666,ERR676666666
SI 2509,ERRSI 2509
444444444,ERR444444444
332222222,ERR332222222
SI 2515,ERRSI 2515
565555555,ERR565555555
^8414,SI44638414
^3070,ERR3070
^5098,SI04285089
SI 05094770,SI05094770
SI 55094775,SI55094775
SI 55149617,SI55149617
SI  65094774,SI65094774
SI 65149616,SI65149616
SI 75094773,SI75094773
SI 85094772,SI85094772
SI 35278849,SI35278849
SI 45094769,SI45094769
SI 45206757,SI45206757
SI 55210292,SI55210292
SI 65149623,SI65149623
SI 95094771,SI95094771
SI 95181659,SI95181659

