"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI43544835",2571308,"24.07.08","2"
"SI33457752",2661563,"21.10.08","1"
"SI33458100",2661570,"11.10.08","2"
"SI03462663",2661437,"10.10.08","1"
"SI93457914",2661467,"14.10.08","1"
"SI43462669",2661494,"11.10.08","1"
"SI83462665",2661332,"18.10.08","2"
"SI03457748",2661012,"10.10.08","1"
"SI93453398",2661075,"20.10.08","1"
"SI33622118",2660314,"31.12.08","1"
"SI23611511",2660284,"05.01.09","1"
"SI93611507",2660285,"10.01.09","2"
"SI83611508",2660286,"03.01.09","2"
"SI33611510",2660287,"12.01.09","2"
"SI73611509",2660288,"16.01.09","2"
"SI93720526",2659339,"12.01.09","1"
"SI33627838",2658962,"27.12.08","1"
"SI73627827",2658989,"28.12.08","2"
"SI43388350",2571613,"10.08.08","1"
"SI23554685",2571624,"29.07.08","2"
"SI73554680",2571626,"28.07.08","2"
"SI93554695",2571630,"27.07.08","2"
"SI43653043",2571964,"12.08.08","2"
"SI63632664",2658395,"09.01.09","1"
"SI23622779",2657948,"10.01.09","1"
"SI93720708",2657997,"29.12.08","2"
"SI83644175",2657870,"21.12.08","1"
"SI73696599",2657442,"22.12.08","2"
"SI23622243",2657256,"02.01.09","2"
"SI93627825",2657113,"28.12.08","1"
"SI13627823",2657127,"29.12.08","2"
"SI23627822",2657130,"27.12.08","1"
"SI33720522",2656199,"08.01.09","1"
"SI23622085",2656214,"07.01.09","2"
"SI53627795",2655459,"22.12.08","2"
"SI13627799",2655405,"03.01.09","1"
"SI13696588",2655048,"31.12.08","1"
"SI53627788",2654528,"31.12.08","2"
"SI63634264",2574746,"16.08.08","1"
"SI03453177",2574899,"12.04.08","1"
"SI23160534",2574913,"13.04.08","1"
"SI03453438",2575257,"14.04.08","2"
"SI83447167",2575356,"16.04.08","1"
"SI93453439",2575364,"14.04.08","1"
"SI42692643",2575473,"24.04.08","2"
"SI53449894",2575653,"27.04.08","1"
"SI23451788",2575770,"12.04.08","1"
"SI93453408",2575959,"24.04.08","2"
"SI03453407",2575960,"29.04.08","1"
"SI53451280",2575963,"20.04.08","1"
"SI13451349",2576000,"23.04.08","2"
"SI23165072",2576012,"24.04.08","2"
"SI13453406",2576070,"25.04.08","2"
"SI53443726",2576255,"27.04.08","2"
"SI13448567",2576372,"01.05.08","2"
"SI93453769",2576531,"19.04.08","1"
"SI43453403",2576685,"04.05.08","1"
"SI53453426",2576689,"06.05.08","1"
"SI63453425",2576690,"09.05.08","1"
"SI33453473",2576693,"06.05.08","1"
"SI43453472",2576694,"07.05.08","1"
"SI53453471",2576695,"08.05.08","1"
"SI43453991",2577055,"29.04.08","1"
"SI23443451",2576748,"23.04.08","1"
"SI13453781",2576937,"08.05.08","2"
"SI33443845",2577288,"15.05.08","1"
"SI83453461",2577508,"12.05.08","2"
"SI63453865",2577519,"21.05.08","2"
"SI73453479",2577547,"23.05.08","1"
"SI53453464",2577792,"25.05.08","2"
"SI03453500",2577988,"27.05.08","1"
"SI83447284",2578328,"20.05.08","1"
"SI93447283",2578329,"25.05.08","1"
"SI83452037",2578501,"27.05.08","1"
"SI23443918",2578594,"10.05.08","2"
"SI33443917",2578595,"09.05.08","2"
"SI23627042",2580333,"05.08.08","2"
"SI03627044",2580338,"06.08.08","2"
"SI83266232",2580933,"16.08.08","1"
"SI53462668",2648343,"07.10.08","2"
"SI23460810",2648346,"15.08.08","1"
"SI63460809",2648380,"27.05.08","2"
"SI23462685",2648411,"10.07.08","1"
"SI63466991",2648154,"22.09.08","1"
"SI93453714",2647888,"02.10.08","2"
"SI93450883",2647708,"29.09.08","1"
"SI73453572",2647777,"09.10.08","2"
"SI83453571",2647778,"08.10.08","1"
"SI33457927",2647781,"03.10.08","2"
"SI92692394",2647827,"25.09.08","1"
"SI43453537",2647294,"19.09.08","1"
"SI03450882",2646441,"11.09.08","2"
"SI43459306",2646093,"09.09.08","2"
"SI23459308",2646095,"12.09.08","2"
"SI63459304",2646096,"08.09.08","2"
"SI03161575",2646103,"20.08.08","2"
"SI83553767",2645397,"24.08.08","1"
"SI83446276",2645318,"12.08.08","2"
"SI33447337",2644561,"07.08.08","1"
"SI43458343",2644118,"02.08.08","1"
"SI32677995",2643837,"26.07.08","2"
"SI03447347",2643553,"15.07.08","2"
"SI03453878",2643365,"19.07.08","1"
"SI73458371",2643027,"15.07.08","2"
"SI53451675",2642874,"10.07.08","2"
"SI13453877",2642883,"16.07.08","2"
"SI83453416",2642562,"07.07.08","1"
"SI23165883",2642638,"08.07.08","1"
"SI03449882",2642716,"17.07.08","1"
"SI93453776",2642720,"09.07.08","1"
"SI93610472",2642124,"04.01.09","1"
"SI83653692",2582200,"16.08.08","1"
"SI93652700",2582245,"10.08.08","2"
"SI83696512",2641933,"20.12.08","1"
"SI83594025",2641393,"25.12.08","2"
"SI63594027",2641399,"01.01.09","1"
"SI13555591",2641236,"06.12.08","2"
"SI43555529",2641238,"06.12.08","1"
"SI03555592",2641239,"07.12.08","2"
"SI03555530",2641240,"28.12.08","1"
"SI93621506",2640651,"24.12.08","1"
"SI53627757",2639646,"14.12.08","1"
"SI53720513",2639540,"21.12.08","1"
"SI43720514",2639542,"26.12.08","1"
"SI83606700",2584390,"15.08.08","1"
"SI63651159",2584524,"26.08.08","2"
"SI83627747",2638957,"19.12.08","2"
"SI63720512",2638776,"17.12.08","1"
"SI53620585",2638378,"10.12.08","2"
"SI33652335",2584742,"24.08.08","1"
"SI03552355",2584768,"15.08.08","1"
